"word","sentiment"
"desalentar","negative"
"desalmado","negative"
"desamparo","negative"
"desanimar","negative"
"desapacible","negative"
"desarreglo","negative"
"desasosegado","negative"
"desasosiego","negative"
"desastre","negative"
"desastroso","negative"
"desatento","negative"
"desazon","negative"
"desbarajuste","negative"
"descanso","positive"
"descarado","negative"
"descargar","positive"
"descaro","negative"
"descomunal","negative"
"desconcertar","negative"
"desconsolado","negative"
"descortes","negative"
"descuello","negative"
"descuido","negative"
"desden","negative"
"desdenar","negative"
"desdicha","negative"
"desdichado","negative"
"desecho","negative"
"desencadenamiento","negative"
"desencanto","negative"
"desengano","negative"
"deseo","positive"
"desesperacion","negative"
"desesperanza","negative"
"desesperanzar","negative"
"desestimacion","negative"
"desfachatez","negative"
"desfallecimiento","negative"
"desfasado","negative"
"desfavorable","negative"
"desgarbado","negative"
"desgarrador","negative"
"desgracia","negative"
"deshonra","negative"
"desigual","negative"
"desigualdad","negative"
"desilusion","negative"
"desistir","negative"
"deslumbrante","negative"
"desmanado","negative"
"desmentir","negative"
"desmesurado","negative"
"desmoralizar","negative"
"desnudar","negative"
"desocupado","positive"
"desolado","negative"
"desorbitado","negative"
"desorden","negative"
"despedida","positive"
"despiadado","negative"
"despido","positive"
"desposeer","negative"
"despotismo","negative"
"despreciable","negative"
"despreciar","negative"
"desprecio","negative"
"desprendido","positive"
"desquiciar","negative"
"desquite","negative"
"destacado","positive"
"destacar","positive"
"destreza","positive"
"destrozar","negative"
"desvanecimiento","negative"
"desventajoso","negative"
"desventura","negative"
"desventurado","negative"
"desvergonzado","negative"
"desverguenza","negative"
"detestable","negative"
"detestar","negative"
"detonador","negative"
"detrimento","negative"
"diablillo","negative"
"diablo","negative"
"dicha","positive"
"dichoso","positive"
"dificultoso","negative"
"dinamico","positive"
"discernimiento","positive"
"discrecion","positive"
"discusion","negative"
"diseminado","negative"
"diserto","positive"
"disfrutar","positive"
"disgustado","negative"
"disgustar","negative"
"disgusto","negative"
"disparatado","negative"
"distante","negative"
"distincion","positive"
"distinguido","positive"
"distinguir","positive"
"distraer","negative"
"disturbios","negative"
"diverso","negative"
"divertido","positive"
"divertir","positive"
"divino","positive"
"docto","positive"
"doler","negative"
"doloroso","negative"
"dotar","positive"
"ducho","positive"
"dudoso","negative"
"dulce","positive"
"duro","negative"
"ebrio","negative"
"echador","negative"
"edicion","positive"
"efectivo","positive"
"eficaz","positive"
"efimero","negative"
"ejemplar","positive"
"ejemplo","positive"
"elacion","negative"
"elegante","positive"
"elevado","positive"
"elocuente","positive"
"embelesamiento","positive"
"embelesar","positive"
"embeleso","positive"
"embotado","negative"
"embravecido","negative"
"embriagar","positive"
"embrollo","negative"
"embrujar","positive"
"embullo","positive"
"embuste","negative"
"eminencia","positive"
"emocionante","positive"
"empobrecido","negative"
"empobrecimiento","negative"
"encantador","positive"
"encantar","positive"
"encogerse","negative"
"encomendar","positive"
"enconar","negative"
"encono","negative"
"encontronazo","negative"
"endeblez","negative"
